code,date,text,value
GOOGL,20180607,u s senator question alphabet twitter on huawei relationship,0
GOOGL,20180607,alphabet s waymo hope to bring robo taxi service to europe,0
GOOGL,20180607,alphabet s waymo hope to bring robo taxi service to europe,0
GOOGL,20180607,norway s wealth fund back content controversy motion at alphabet,0
GOOGL,20180606,update alphabet shareholder reject diversity proposal backed by employee,1
GOOGL,20180606,alphabet s stockholder vote against gender pay gap diversity proposal,0
GOOGL,20180604,washington state sue facebook google over election ad disclosure,1
GOOGL,20180601,rpt focus google s reserve tool winning convert taking search to next level,1
GOOGL,20180531,google launch second app in china woos top smartphone market,1
GOOGL,20180531,google launch nd app in china woos top smartphone market,0
GOOGL,20180522,yelp seek to revive eu antitrust complaint against google,1
GOOGL,20180516,highlight hedge fund chomped on faangs during first quarter tech turmoil,1
GOOGL,20180515,brief tiger global dissolve stake in alphabet take stake in twitter,1
GOOGL,20180513,tesla executive schwall join alphabet s waymo,1
GOOGL,20180513,tesla executive schwall leaf for alphabet s waymo wsj,0
GOOGL,20180511,update cisco pull all online ad from youtube,0
GOOGL,20180509,alphabet intel fedex at t among drone pilot winner university,1
GOOGL,20180509,update walmart to pay bln for control of india s flipkart share slide,0
GOOGL,20180509,u stock wall st surge on higher oil after u s quits iran deal,0
GOOGL,20180508,update white house to hold artificial intelligence meeting with company,1
GOOGL,20180507,google launch android thing for appliance a earlier spinoffs scramble to catch on,0
GOOGL,20180506,rpt wrapup buffett craves more apple share endorses it buyback,0
GOOGL,20180504,update flipkart yet to finalise stake sale deal with walmart source,0
GOOGL,20180427,alphabet s sergey brin say company must assume greater responsibility,1
GOOGL,20180427,brief google ceo sundar pichai s compensation wa mln,0
GOOGL,20180426,zte tell supplier china trade row may be factor in u s ban source,0
GOOGL,20180426,refile zte tell supplier china trade row may be factor in u s ban source,0
GOOGL,20180424,google owner alphabet s share fall on rise in cost,1
GOOGL,20180424,rpt u stock wall st slide a high bond yield fan cost worry,0
GOOGL,20180424,u stock wall st slide a high bond yield fan cost worry,0
GOOGL,20180424,youtube deletes million video for content violation,0
GOOGL,20180424,softbank google join billion investment in china truck hailing firm,0
GOOGL,20180424,youtube deletes mln video for content violation,0
GOOGL,20180424,u stock snapshot wall st lower a yield alphabet weighs,0
GOOGL,20180424,ad sale surge at google parent alphabet but so do cost,0
GOOGL,20180424,softbank google join bln investment in china truck hailing firm,0
GOOGL,20180424,press digest wall street journal april,0
GOOGL,20180423,brief alphabet cfo say site tac to continue to increase a percentage of site revenue but pace of y y increase to slow starting q,1
GOOGL,20180423,brief alphabet inc report q earnings per share of,0
GOOGL,20180423,alphabet s profit jump percent in first quarter,0
GOOGL,20180417,zte may lose android software license under u s order source,1
GOOGL,20180412,google poised to emerge unscathed from european antitrust crackdown,1
GOOGL,20180410,google in talk to buy nokia s airplane broadband business bloomberg,1
GOOGL,20180409,alphabet unit to start toronto smart city tech pilot in summer build in,1
GOOGL,20180409,apple say all it facility now powered by clean energy,0
GOOGL,20180408,investor not giving alphabet enough credit for growth outlook barron s,1
GOOGL,20180402,brief alphabet say to transition network rev metric to pct change in impression cost per impression in q,1
GOOGL,20180329,poor first quarter end on a high note a stock leap,1
GOOGL,20180329,u stock wall st up more than pct on last day of tumultuous quarter,0
GOOGL,20180329,global market stock edge higher after tech woe loss loom for first quarter,0
GOOGL,20180329,u stock wall st surge on last day of turbulent quarter,0
GOOGL,20180328,three facebook user sue over collection of call text history,0
GOOGL,20180328,update three facebook user sue over collection of call text history,0
GOOGL,20180327,google to acquire gif platform tenor,1
GOOGL,20180327,update saudi arabia to sign memorandum with boeing to support fleet,0
GOOGL,20180327,waymo step toward a more diverse robo taxi fleet with jaguar deal,0
GOOGL,20180327,update waymo step toward a more diverse robo taxi fleet with jaguar deal,0
GOOGL,20180327,update apple bid for education market new software same ipad price,0
GOOGL,20180327,update taiwan s htc share jump more than pct on upbeat outlook,0
GOOGL,20180327,taiwan s htc share rise more than pct,0
GOOGL,20180326,facebook ceo among those invited to testify at u s senate hearing,1
GOOGL,20180325,wall street s beloved fang stock quartet may be breaking up,0
GOOGL,20180320,amazon is now second most valuable u s listed company top alphabet,1
GOOGL,20180320,amazon is now nd most valuable u s listed company top alphabet,0
GOOGL,20180320,publicis seek to boost growth by going deeper into consulting,0
GOOGL,20180314,google to ban ad on cryptocurrencies related product,1
GOOGL,20180314,update france to sue google apple over developer contract minister,0
GOOGL,20180313,youtube to display wikipedia blurb alongside conspiracy video,1
GOOGL,20180309,hold the iphone amazon primed to be larger than apple,0
GOOGL,20180308,graphic hold the iphone amazon primed to be larger than apple,0
GOOGL,20180307,google map let business promote themselves a woman led,1
GOOGL,20180228,google s shopping rival call for action from eu antitrust watchdog,1
GOOGL,20180228,waymo seek to reassure potential rider with new self driving video,0
GOOGL,20180228,waymo seek to reassure potential rider with new self driving video,0
GOOGL,20180227,udacity with eye to eventual ipo say revenue more than doubled in,0
GOOGL,20180227,udacity with eye to eventual ipo say revenue more than doubled in,0
GOOGL,20180223,australia s warren buffet quits a head of fund management firm,0
GOOGL,20180214,uber s fourth quarter loss narrow to bln source,0
GOOGL,20180210,update waymo accepts mln and uber s regret to settle self driving car dispute,1
GOOGL,20180209,uber rejected million settlement with waymo earlier this week,1
GOOGL,20180207,alphabet shift thermostat maker nest into google,1
GOOGL,20180207,google eye gaming with yeti streaming service report,0
GOOGL,20180207,alphabet name former time warner cable executive to lead internet unit,0
GOOGL,20180206,alphabet name former time warner cable exec to lead internet unit,1
GOOGL,20180206,google to buy chelsea market building for over billion report,0
GOOGL,20180206,google to buy chelsea market building for over bln report,0
GOOGL,20180202,alphabet s earnings miss profit estimate a spending grows,1
GOOGL,20180202,alphabet share fall a rising cost margin pressure roil investor,0
GOOGL,20180202,alphabet name board veteran a chairman to succeed schmidt,0
GOOGL,20180202,update alphabet name board veteran a chairman to succeed schmidt,0
GOOGL,20180201,alphabet aramco in talk to build tech hub in saudi arabia wsj,1
GOOGL,20180201,alphabet name board veteran a chairman to succeed schmidt,0
GOOGL,20180201,brief alphabet q adj eps,0
GOOGL,20180201,alphabet crack billion in annual revenue a advertising soar,0
GOOGL,20180201,youtube s emerging market focused app expands to country,0
GOOGL,20180201,youtube s emerging market focused app expands to country,0
GOOGL,20180201,google s g suite is no microsoft killer but still winning convert,0
GOOGL,20180131,google aim to get diverse perspective into search result,1
GOOGL,20180125,google roll out new addition to mute this ad feature,1
GOOGL,20180125,alphabet unveils business unit devoted to cyber security,0
GOOGL,20180125,update alphabet unveils business unit devoted to cyber security,0
GOOGL,20180124,corrected alphabet unveils chronicle a new cyber security business incubated at x,1
GOOGL,20180122,murdoch call for fee for trusted news publisher on facebook,0
GOOGL,20180121,update wall st week ahead where netflix go big tech may follow,0
GOOGL,20180121,wall st week ahead where netflix go big tech may follow despite u s government shutdown,0
GOOGL,20180119,update google announces patent agreement with tencent amid china push,0
GOOGL,20180118,google temasek coming in a new investor in indonesia s go jek source,1
GOOGL,20180116,google to expand cloud infrastructure with new region submarine cable,1
GOOGL,20180116,brief google say will commission three subsea cable in,0
GOOGL,20180115,google to relaunch map service in china nikkei,1
GOOGL,20180112,google remove gaming apps with pop up porn malware,1
GOOGL,20180105,corrected google eye chinese e sport market with investment in chushou,0
GOOGL,20180104,alphabet healthcare company get funding to help medicaid patient,1
GOOGL,20180104,update continental bosch buy stake in digital map firm here,0
GOOGL,20180104,bosch buy percent stake in mapping firm here,0
GOOGL,20180104,bosch buy pct stake in mapping firm here,0
GOOGL,20180103,alphabet s google explores sale of restaurant reviewer zagat source,1
GOOGL,20171222,brief alphabet board member john hennessy is a likely candidate to replace schmidt a chairman cnbc,1
GOOGL,20171221,alphabet s eric schmidt to step down a executive chairman,1
GOOGL,20171221,brief eric schmidt to become technical advisor to alphabet,0
GOOGL,20171214,google brain co founder team with foxconn to bring ai to factory,0
GOOGL,20171213,google launching artificial intelligence research center in china,1
GOOGL,20171213,lyft start canada service in first international foray,0
GOOGL,20171212,lyft start canada service in first international foray,0
GOOGL,20171207,corrected u stock wall street rising facebook alphabet lululemon gain,0
GOOGL,20171205,google unveils new android software in india to power cheap smartphones,1
GOOGL,20171205,lyft s fresh funding round brings valuation to bln,0
GOOGL,20171205,youtube to expand team reviewing extremist content,0
GOOGL,20171205,update youtube to expand team reviewing extremist content,0
GOOGL,20171204,australia to probe facebook google over medium disruption,1
GOOGL,20171130,google launch app to for mobile phone user in emerging market,1
GOOGL,20171129,refile update uber waymo trial delayed a u s judge raise prospect of cover up,1
GOOGL,20171128,google add finance tab to search filter revamps google finance,1
GOOGL,20171117,google buy plot near apple s planned danish data center,1
GOOGL,20171117,google buy plot near apple s planned danish data centre,0
GOOGL,20171114,brief tiger global dissolve share stake in alphabet ups stake in facebook,1
GOOGL,20171114,press digest financial time nov,0
GOOGL,20171113,google face antitrust investigation in missouri,0
GOOGL,20171113,lyft to drive into canada in first international foray,0
GOOGL,20171113,brief google share proposal with open compute project for hdd product requirement,0
GOOGL,20171113,lyft to drive into canada in first international foray,0
GOOGL,20171107,alphabet s waymo to launch robotaxis with no human in driver s seat,1
GOOGL,20171107,indonesia to summon messenger search engine provider over content,0
GOOGL,20171107,indonesia to summon messenger search engine provider over content,0
GOOGL,20171102,update autonation announces waymo fleet repair deal share jump,0
GOOGL,20171102,u s lawmaker release sample of russian bought facebook ad,0
GOOGL,20171031,google ditched autopilot driving feature after test user napped behind wheel,1
GOOGL,20171027,alphabet s mobile ad revenue surge share jump,1
GOOGL,20171027,no end in sight for tech giant share gain,0
GOOGL,20171026,brief alphabet post qtrly earnings per share of,1
GOOGL,20171026,alphabet revenue rise pct on mobile advertising growth,0
GOOGL,20171026,alphabet look to snowy michigan to test self driving car,0
GOOGL,20171026,alphabet look to snowy michigan to test self driving car,0
GOOGL,20171020,alphabet balloon project to provide limited internet in puerto rico,1
GOOGL,20171020,press digest new york time business news oct,0
GOOGL,20171019,update alphabet s capitalg lead lyft s bln funding round,1
GOOGL,20171019,lyft say alphabet lead latest billion round of funding,0
GOOGL,20171017,alphabet to develop high tech waterfront site in toronto,1
GOOGL,20171017,google launch advanced gmail security feature for high risk user,0
GOOGL,20171013,fidelity test virtual reality for customer service training,0
GOOGL,20171009,alphabet launch u s ad campaign to promote driverless car safety,1
GOOGL,20171007,google to use balloon to provide puerto rico cell service,1
GOOGL,20171005,social medium executive to testify nov about russia and u s election,1
GOOGL,20171004,update google launch new phone speaker in hardware push,1
GOOGL,20171004,update alphabet unit nears deal for toronto waterfront development wsj,0
GOOGL,20171004,alphabet unit nears deal for toronto waterfront development wsj,0
GOOGL,20171004,brief alphabet s google launch slew of new product headlined by google pixel,0
GOOGL,20171003,update u s judge say he will delay uber waymo trade secret trial,0
GOOGL,20170927,u s lawmaker ask facebook twitter for information on anti fracking ad,1
GOOGL,20170922,update zuckerberg nix new facebook share class after shareholder lawsuit,0
GOOGL,20170921,google to buy part of htc s smartphone operation for bln,0
GOOGL,20170920,waymo seeking bln from uber for one trade secret lawyer,1
GOOGL,20170920,google close to buying smartphone maker htc s asset bloomberg,0
GOOGL,20170920,google close to buying smartphone maker htc s asset bbg,0
GOOGL,20170920,amazon working on smart glass a it first wearable device ft,0
GOOGL,20170920,amazon working on smart glass a it first wearable device ft,0
GOOGL,20170915,alphabet talk with lyft about possible investment source,1
GOOGL,20170915,corrected gm s cruise aim to open self driving test to public timing unclear,0
GOOGL,20170915,google disables offensive ad keywords found by buzzfeed,0
GOOGL,20170914,brief alphabet inc to consider lyft investment of about bln bloomberg,1
GOOGL,20170914,uber waymo clash over key evidence in self driving trial,0
GOOGL,20170914,lawsuit accuses google of discriminating against woman in pay promotion,0
GOOGL,20170914,uber waymo clash over key evidence in self driving trial,0
GOOGL,20170914,uber waymo clash over key evidence in self driving trial,0
GOOGL,20170913,uber s bid to move waymo court fight to arbitration denied by appeal court,1
GOOGL,20170907,lyft to offer ride in self driving car in san francisco area,0
GOOGL,20170829,alphabet s google act to comply with eu antitrust order,1
GOOGL,20170828,update four uber driver fined in denmark others charged,0
GOOGL,20170825,buzz blackrock s largest mutual fund appears to warm to google again,1
GOOGL,20170814,u s hedge fund bearish on faang stock in second quarter sec filing,1
GOOGL,20170814,brief tiger global management cut stake in amazon com alphabet,0
GOOGL,20170811,brief third point ups share stake in facebook dissolve in snap inc,1
GOOGL,20170811,google cancel staff meeting over fear of online harassment,0
GOOGL,20170811,update google cancel staff meeting over fear of online harassment,0
GOOGL,20170811,google cancel staff meeting over fear of online harassment,0
GOOGL,20170810,update uber s graf stepping down from full time job stay on board,0
GOOGL,20170808,google fire employee behind anti diversity memo,1
GOOGL,20170807,omega s cooperman tell cnbc his biggest position is alphabet,1
GOOGL,20170727,google hope to train million people in africa in online skill ceo,1
GOOGL,20170727,facebook share hit record high a mobile ad sale soar,0
GOOGL,20170727,update facebook share hit record high a mobile ad sale soar,0
GOOGL,20170726,brief alphabet s google announces mln initiative to help people prepare for the changing nature of work blog,1
GOOGL,20170726,one year after ipo japanese chat app line report drop in user number,0
GOOGL,20170726,update one year after ipo japanese chat app line report drop in user number,0
GOOGL,20170725,google canada head exit company name interim head,1
GOOGL,20170725,adobe to pull plug on flash ending an era,0
GOOGL,20170725,adobe system will end support for widely used flash multimedia software by,0
GOOGL,20170725,investor unhappy a alphabet shell out more to drive traffic,0
GOOGL,20170725,u stock mcdonald s caterpillar power s p to record,0
GOOGL,20170725,investor unhappy a alphabet shell out more to drive traffic,0
GOOGL,20170725,alphabet add to cash pile despite higher cost antitrust fine,0
GOOGL,20170725,update alphabet add to cash pile despite higher cost antitrust fine,0
GOOGL,20170724,brief alphabet report qtrly earnings per share of,1
GOOGL,20170724,brief alphabet say q aggregate paid click were up pct,0
GOOGL,20170724,alphabet profit slump on record bln eu fine,0
GOOGL,20170724,brief alphabet inc q result press release,0
GOOGL,20170724,brief alphabet appoints sundar pichai to it board,0
GOOGL,20170724,alphabet appoints google ceo pichai to board,0
GOOGL,20170724,alphabet appoints google ceo pichai to board,0
GOOGL,20170719,google redesigns mobile search app with personalized feed,1
GOOGL,20170712,google earth to let user post story photo in coming year,1
GOOGL,20170712,china could field nearly half of new electric car model by study,0
GOOGL,20170707,waymo must disclose detail of lyft car deal to uber ruling,1
GOOGL,20170707,facebook to build housing in silicon valley for first time,0
GOOGL,20170707,google say it service disruption issue resolved,0
GOOGL,20170707,google say it drive service facing disruption,0
GOOGL,20170706,alphabet spin out geothermal startup dandelion,1
GOOGL,20170705,china s baidu tap partner to help advance self driving,1
GOOGL,20170705,google to start getting norwegian wind power by september,0
GOOGL,20170628,in eu dealing google could learn from an erstwhile rival,0
GOOGL,20170628,google face year of eu oversight on top of record antitrust fine,0
GOOGL,20170628,refile google face year of eu oversight on top of record antitrust fine,0
GOOGL,20170627,brief alphabet expects to accrue fine imposed by ec decision in q,1
GOOGL,20170627,eu hit google with record bln fine,0
GOOGL,20170627,eu fine google record billion in first antitrust case,0
GOOGL,20170627,google say it is considering appeal against eu antitrust fine,0
GOOGL,20170627,eu antitrust regulator hit google with record bln euro fine,0
GOOGL,20170626,alphabet partner with avis to manage self driving car fleet,1
GOOGL,20170623,google to stop scanning gmail for creating targeted ad,1
GOOGL,20170623,london startup blockchain raise million in fresh funding,0
GOOGL,20170622,uber ceo travis kalanick resigns under investor pressure,0
GOOGL,20170622,update uber ceo travis kalanick resigns under investor pressure,0
GOOGL,20170619,google tightens measure to remove extremist content on youtube,1
GOOGL,20170615,alphabet apple analyst research extends tech stock selloff,1
GOOGL,20170613,waymo retires firefly to focus on mass produced vehicle,1
GOOGL,20170613,indonesia ha reached tax deal with google for finance minister say,0
GOOGL,20170613,indonesia ha reached tax deal with google for finmin,0
GOOGL,20170609,softbank to buy robotics business from alphabet inc,1
GOOGL,20170609,softbank unit agrees to buy boston dynamic from alphabet inc,0
GOOGL,20170609,brief softbank announces agreement to acquire boston dynamic,0
GOOGL,20170607,judge rule uber must disclose key document in waymo self driving car case,1
GOOGL,20170607,update lack of power line hit sub saharan africa s biggest wind farm,0
GOOGL,20170602,brief alphabet inc s nest lab and ecobee announce long term patent cross license agreement,1
GOOGL,20170602,waymo working on self driving truck,0
GOOGL,20170602,waymo working on self driving truck,0
GOOGL,20170601,exclusive google face hefty eu fine in shopping case by august source,1
GOOGL,20170531,uber fire self driving car chief at center of court case,0
GOOGL,20170530,uber fire levandowski amid waymo self driving dispute,1
GOOGL,20170526,acquisition accelerate a tech giant seek to build ai smart,0
GOOGL,20170522,eu to conclude google antitrust case in next few month,1
GOOGL,20170516,wall st chat service symphony raise mln valued at bln source,0
GOOGL,20170515,brief paulson co inc take share stake in dish network monsanto,1
GOOGL,20170515,brief omega advisor ups share stake in alphabet facebook zynga time inc,0
GOOGL,20170512,brief third point cut share stake in facebook jpmorgan ups in alphabet,1
GOOGL,20170504,google to pay million to settle italian tax dispute,1
GOOGL,20170504,update google to pay mln euro to settle italian tax dispute,0
GOOGL,20170503,update spam campaign target google user with malicious link,1
GOOGL,20170503,investor cheer delphi s bet on electric connected car,0
GOOGL,20170503,update investor cheer delphi s bet on electric connected car,0
GOOGL,20170503,google doc warns customer about spam with malicious link,0
GOOGL,20170503,italy expects to settle google tax dispute this week source,0
GOOGL,20170503,italy expects to settle google tax dispute this week source,0
GOOGL,20170503,italy tax chief say close to deal with google over tax dispute paper,0
GOOGL,20170503,italy tax chief say close to deal with google over tax dispute paper,0
GOOGL,20170429,google get australian tax office demand to pay more say to fight it,1
GOOGL,20170428,brief alphabet s google ceo sundar pichai s total compensation mln,1
GOOGL,20170428,big data analytics company cloudera surge in market debut,0
GOOGL,20170428,google s search for non ad revenue put spotlight on cloud pixel,0
GOOGL,20170428,update google s search for non ad revenue put spotlight on cloud pixel,0
GOOGL,20170428,google s search for non ad revenue put spotlight on cloud pixel,0
GOOGL,20170428,morning news call india april,0
GOOGL,20170427,google parent alphabet s profit up percent on strong ad sale,1
GOOGL,20170427,update google parent alphabet s profit up pct on strong ad sale,0
GOOGL,20170427,u stock earnings lift nasdaq to record amazon alphabet up after hour,0
GOOGL,20170427,brief alphabet post qtrly eps of,0
GOOGL,20170427,brief alphabet inc q result press release,0
GOOGL,20170427,alphabet ceo tout result of corporate restructuring,0
GOOGL,20170427,update alphabet ceo tout result of corporate restructuring,0
GOOGL,20170425,waymo testing self driving car ride service in arizona,1
GOOGL,20170419,alphabet s verily unit launch study to track health data,1
GOOGL,20170417,google to open up android to rival in out of court deal with russia,1
GOOGL,20170413,rpt self driving arm race complicates supplier alliance,0
GOOGL,20170413,uber ceo s iron grip pose challenge in coo search,0
GOOGL,20170413,self driving arm race complicates supplier alliance,0
GOOGL,20170413,self driving arm race complicates supplier alliance,0
GOOGL,20170410,rpt in the trump era one u s muslim investor try a louder voice,0
GOOGL,20170410,in the trump era one u s muslim investor try a louder voice,0
GOOGL,20170407,uber say it self driving technology differs from waymo s,1
