company,date,time
Alphabet Inc Class C (GOOG),2019-02-04,Day Ahead: Top 3 Things to Watch
Alphabet Inc Class C (GOOG),2019-02-04,Stocks - Dow Closes Higher as Tech Stocks Reign Supreme
Alphabet Inc Class C (GOOG),2019-02-04,Apple briefly regains title as most valuable U.S. company
Alphabet Inc Class C (GOOG),2019-02-04,BTIG: Take-Two could benefit from videogame M&A wave
Alphabet Inc Class C (GOOG),2019-02-04,Slack makes confidential filing to go public
Alphabet Inc Class C (GOOG),2019-02-08,Seeking an edge  U.S. landlords turn to tenant experience apps
Alphabet Inc Class C (GOOG),2019-02-08,Lithuania sees flood of fintech firms apply for licenses ahead of Brexit
Alphabet Inc Class C (GOOG),2019-02-07,Startup Aurora gets $530 million boost to build self-driving cars
Alphabet Inc Class C (GOOG),2019-02-06,Chip  electronics veterans join hardware-focused U.S. venture firm
Alphabet Inc Class C (GOOG),2019-02-05,Snap user number beats Wall Street estimate  shares soar
Alphabet Inc Class C (GOOG),2019-02-05,Stocks - Dow Logs Triple-Digit Gains Ahead of Trump Speech
Alphabet Inc Class C (GOOG),2019-02-05,Apple agrees to pay back-taxes to French authorities
Alphabet Inc Class C (GOOG),2019-02-05,Wall Street higher on earnings optimism ahead of Trump speech
Alphabet Inc Class C (GOOG),2019-02-05,Renault-Nissan alliance  Google to partner on self-driving cars: Nikkei
Alphabet Inc Class C (GOOG),2019-02-05,Stocks - Wall Street Rises as Estee Lauder Helps Sentiment
Alphabet Inc Class C (GOOG),2019-02-01,NewsGuard's 'real news' seal of approval helps spark change in fake news era
Alphabet Inc Class C (GOOG),2019-02-01,CookieMiner Malware Tries to Hack Mac Users’ Cryptocurrency Exchange Accounts  Report
Alphabet Inc Class C (GOOG),2019-02-01,Go-Jek raises $1 billion in round led by Google  Tencent  JD
Alphabet Inc Class C (GOOG),2019-02-01,Stocks Mixed as U.S.-China Trade Talks Wear On: Markets Wrap
Alphabet Inc Class C (GOOG),2019-01-31,Amazon sales outlook falls short after record holiday quarter
Alphabet Inc Class C (GOOG),2019-01-31,Day Ahead: Top 3 Things to Watch
Alphabet Inc Class C (GOOG),2019-01-31,U.S. appeals court  House panel to take up net neutrality
Alphabet Inc Class C (GOOG),2019-01-31,Jeff Bezos' Blue Origin signs launch deal with Canada's Telesat
Alphabet Inc Class C (GOOG),2019-01-31,Tech lobby takes India to task over plans to police online content
Alphabet Inc Class C (GOOG),2019-01-31,French regulator orders Google to take measures on advertising
Alphabet Inc Class C (GOOG),2019-01-24,Microsoft says Bing search engine blocked in China
Alphabet Inc Class C (GOOG),2019-01-23,Verizon cuts 7 percent of jobs in media unit
Alphabet Inc Class C (GOOG),2019-01-23,Amazon spends company record on U.S. lobbying in 2018: filing
Alphabet Inc Class C (GOOG),2019-01-23,As Google races ahead  German carmakers look to go faster on autonomous driving
Alphabet Inc Class C (GOOG),2019-01-23,China Resists U.S.  EU Talks on Global Digital Trade Deal  Sources Say
Alphabet Inc Class C (GOOG),2019-01-23,China's Baidu pledges to improve search service after complaint
Alphabet Inc Class C (GOOG),2019-01-23,Amid rulemaking heat  big tech firms spend record amounts on lobbying
Alphabet Inc Class C (GOOG),2019-01-22,Google  Facebook spend big on U.S. lobbying amid policy battles
Alphabet Inc Class C (GOOG),2019-01-22,Cloud  services fuel IBM's profit beat  robust outlook; shares jump
Alphabet Inc Class C (GOOG),2019-01-22,Stocks - Dow Downed by Trade  Global Growth Jitters
Alphabet Inc Class C (GOOG),2019-03-02,Facebook sues over sales of fake accounts  likes and followers
Alphabet Inc Class C (GOOG),2019-03-01,Lyft's IPO filing shows surging revenue  widening losses
Alphabet Inc Class C (GOOG),2019-02-28,Google workers support proposed U.S. laws to curb mandatory arbitration
Alphabet Inc Class C (GOOG),2019-02-28,YouTube disables comments on videos featuring minors
Alphabet Inc Class C (GOOG),2019-02-28,France sees global tax deal on digital giants in 2019: minister
Alphabet Inc Class C (GOOG),2019-02-28,Thailand passes internet security law decried as 'cyber martial law'
Alphabet Inc Class C (GOOG),2019-02-28,JD.com shares jump on upbeat sales performance
Alphabet Inc Class C (GOOG),2019-02-28,Google  Facebook  Twitter fail to live up to fake news pledge
Alphabet Inc Class C (GOOG),2019-02-28,Some Facebook content reviewers in India complain of low pay  high pressure
Alphabet Inc Class C (GOOG),2019-02-27,Apple self-driving car layoffs give hints to division's direction
Alphabet Inc Class C (GOOG),2019-01-28,Bing outage in China was technical error  not censors' block: source
Alphabet Inc Class C (GOOG),2019-01-27,You're hired! Thai startup fills gap in tech talent recruiting
Alphabet Inc Class C (GOOG),2019-01-25,Zayo jumps 8.6% on chatter of Alphabet  CenturyLink interest
Alphabet Inc Class C (GOOG),2019-01-25,Visa's European arm pays 13.2 million euros to settle Italy tax dispute
Alphabet Inc Class C (GOOG),2019-01-25,More than 95 000 data breach complaints since EU rules kicked in
Alphabet Inc Class C (GOOG),2019-01-24,Google asks U.S. Supreme Court to end Oracle copyright case
Alphabet Inc Class C (GOOG),2019-01-24,Global Trade Cracks  PBOC Swap Tool  Draghi Rate Window: Eco Day
Alphabet Inc Class C (GOOG),2019-01-24,Ad exchange OpenX commits to $110 million Google Cloud deal
Alphabet Inc Class C (GOOG),2019-01-24,Access to Microsoft's Bing restored for some users in China
Alphabet Inc Class C (GOOG),2019-01-24,France seeks support for minimum corporate tax at world level
Alphabet Inc Class C (GOOG),2019-01-22,Alphabet A Falls 3%
Alphabet Inc Class C (GOOG),2019-01-22,Waymo says it will build self-driving cars in Michigan
Alphabet Inc Class C (GOOG),2019-01-22,TomTom at a crossroads after $1 billion sale of Telematics unit
Alphabet Inc Class C (GOOG),2019-01-22,U.S. to formally seek extradition of Huawei exec Wanzhou - report
Alphabet Inc Class C (GOOG),2019-01-22,Google fined €50M by French regulator in new European privacy rule
Alphabet Inc Class C (GOOG),2019-01-21,In win for tech giants  EU copyright reforms stalled
Alphabet Inc Class C (GOOG),2019-01-21,France fines Google $57 million for European privacy rule breach
Alphabet Inc Class C (GOOG),2019-01-20,Sorrell's S4 Capital seeks more deals in digital-only drive
Alphabet Inc Class C (GOOG),2019-01-20,Digital giants in crosshairs of EU tax
Alphabet Inc Class C (GOOG),2019-01-19,EU tax on big digital companies could be struck by March: French minister
Alphabet Inc Class C (GOOG),2019-01-15,Stocks - Dow Logs Triple-Digit Gains as Tech Triggers Rally
Alphabet Inc Class C (GOOG),2019-01-15,Best U.S. fund managers of '18 buying healthcare  pot stocks as market wobbles
Alphabet Inc Class C (GOOG),2019-01-15,Alphabet A Rises 3%
Alphabet Inc Class C (GOOG),2019-01-15,EU Commission pushes back plan to end veto on digital tax to 2025
Alphabet Inc Class C (GOOG),2019-01-15,TD Ameritrade taps Apple Pay for instant fund transfers to accounts
Alphabet Inc Class C (GOOG),2019-01-15,Windows Torrent File Malware Can Swap Out Crypto Addresses  Researcher Warns
Alphabet Inc Class C (GOOG),2019-01-14,Stocks - Dow Downed by Tech on China Worries  
Alphabet Inc Class C (GOOG),2019-01-14,U.S. proposes to allow drone operation at night  over people
Alphabet Inc Class C (GOOG),2019-01-11,Google Policy Change Forces Bitcoin Wallet to Remove Security Features
Alphabet Inc Class C (GOOG),2019-01-10,Alphabet board sued on allegations of sexual misconduct cover-up
Alphabet Inc Class C (GOOG),2019-01-19,Austrian data privacy activist files complaint against Apple  Amazon  others
Alphabet Inc Class C (GOOG),2019-01-18,Stocks - Dow Soars on Easing U.S.-China Tensions
Alphabet Inc Class C (GOOG),2019-01-18,U.S. regulators discuss fining Facebook for privacy violations: report
Alphabet Inc Class C (GOOG),2019-01-18,S&P 500 Road Map for 2019
Alphabet Inc Class C (GOOG),2019-01-18,Stocks - Tesla  Netflix  American Express Slide in Premarket  CVS Jumps
Alphabet Inc Class C (GOOG),2019-01-18,AT&T ads returning to YouTube  two years after pulling back over content
Alphabet Inc Class C (GOOG),2019-01-18,Stocks - U.S. Futures Lifted by Trade Hopes
Alphabet Inc Class C (GOOG),2019-01-18,Fossil to sell smartwatch technology worth $40 million to Google  shares rise
Alphabet Inc Class C (GOOG),2019-01-17,U.S. appeals court will not delay net neutrality case
Alphabet Inc Class C (GOOG),2019-01-17,Slack's product chief to step down
Alphabet Inc Class C (GOOG),2019-01-07,Intel working with Facebook on AI chip coming later this year
Alphabet Inc Class C (GOOG),2019-01-07,Qualcomm expands car computer chip lineup  adds music from Amazon
Alphabet Inc Class C (GOOG),2019-01-07,Deutsche Bank significantly boosts valuation of Universal Music
Alphabet Inc Class C (GOOG),2019-01-07,Amazon will soar more than 20% as it becomes a 'third force' in advertising behind Google and Facebook  analyst says
Alphabet Inc Class C (GOOG),2019-01-07,Turkey to investigate whether Google violated competition law
Alphabet Inc Class C (GOOG),2019-01-06,Apple inks deal with Samsung to distribute iTunes shows on TVs
Alphabet Inc Class C (GOOG),2019-01-06,Mercedes aims to be among top two players to scale autonomous tech: paper
Alphabet Inc Class C (GOOG),2019-01-04,Report: More than 100M devices featuring Alexa have been sold
Alphabet Inc Class C (GOOG),2019-01-04,Wall St. rebounds on robust jobs report  dovish Powell remarks
Alphabet Inc Class C (GOOG),2019-01-04,Stocks - Wall Street Flies High on Fed Patience  Job Gains
Alphabet Inc Class C (GOOG),2019-01-04,Alphabet A Rises 3%
Alphabet Inc Class C (GOOG),2019-01-04,Chinese phone maker Huawei punishes employees for iPhone tweet blunder
Alphabet Inc Class C (GOOG),2019-01-03,Google shifted $23 billion to tax haven Bermuda in 2017: filing
Alphabet Inc Class C (GOOG),2019-01-03,Immersion +11.6% on Google haptics deal
Alphabet Inc Class C (GOOG),2019-01-03,Paying the price: China shoppers  stung by slowdown  take bite out of Apple
Alphabet Inc Class C (GOOG),2019-01-02,Google wins U.S. approval for new radar-based motion sensor
Alphabet Inc Class C (GOOG),2019-01-02,San Bernardino shooting lawsuits vs Facebook  Google  Twitter dismissed
Alphabet Inc Class C (GOOG),2019-01-02,Stocks - Alphabet  Microsoft  Netflix Fall in Premarket; Prana Soars
Alphabet Inc Class C (GOOG),2019-01-02,FCC gives nod to Google's miniature radar
Alphabet Inc Class C (GOOG),2019-01-01,How will the FAANGs perform in 2019?
Alphabet Inc Class C (GOOG),2019-01-10,Investors ask how the Bezos divorce will affect Amazon
Alphabet Inc Class C (GOOG),2019-01-10,Google can limit 'right to be forgotten' to EU says top court adviser
Alphabet Inc Class C (GOOG),2019-01-09,Vehicle screens go super-sized at CES as tech catches up
Alphabet Inc Class C (GOOG),2019-01-09,AMD shows off 7nm next-gen chips at CES  aims at Intel and Nvidia
Alphabet Inc Class C (GOOG),2019-01-09,New York's iconic Chrysler Building put up for sale
Alphabet Inc Class C (GOOG),2019-01-09,Go-Jek's expansion hits roadblock as Philippines rejects ride-hailing application
Alphabet Inc Class C (GOOG),2019-01-09,Vietnam says Facebook violated controversial cybersecurity law
Alphabet Inc Class C (GOOG),2019-01-08,Stocks - Dow Logs Triple-Digit Gain on Trade Optimism  Boeing Rally
Alphabet Inc Class C (GOOG),2019-01-08,Report: Amazon's free sample ad strategy
Alphabet Inc Class C (GOOG),2019-01-08,Samourai BTC Wallet Removes Privacy Features at Google’s Behest for Transparency Policy
Alphabet Inc Class C (GOOG),2018-12-31,Stocks - Wall Street Closes Books on Weak 2018 With a Gain
Alphabet Inc Class C (GOOG),2018-12-31,Epic Games takes on Apple and Google
Alphabet Inc Class C (GOOG),2018-12-31,"Bloomberg: Self-driving cars ""down the road"""
Alphabet Inc Class C (GOOG),2018-12-30,U.S. judge dismisses suit versus Google over facial recognition software
Alphabet Inc Class C (GOOG),2018-12-27,Alphabet A Falls 3%
Alphabet Inc Class C (GOOG),2018-12-27,Stocks - Market Gives Back Some Gains After Breathtaking Rally
Alphabet Inc Class C (GOOG),2018-12-26,Alphabet A Rises 3%
Alphabet Inc Class C (GOOG),2018-12-24,Exclusive: U.S. satellite service offers to sell minority stake to Russia
Alphabet Inc Class C (GOOG),2018-12-23,Australia's MYOB recommends KKR's lower buyout offer
Alphabet Inc Class C (GOOG),2018-12-22,Surge at U.S. border pushes some evangelicals to help asylum seekers
Alphabet Inc Class C (GOOG),2018-12-21,California lets self-driving startup Zoox offer autonomous rides
Alphabet Inc Class C (GOOG),2018-12-21,Nasdaq confirms bear market; economic worries sink Wall Street
Alphabet Inc Class C (GOOG),2018-12-21,Stocks - Dow Ends Brutal Week Deeply in Red Amid Government Shutdown Fears
Alphabet Inc Class C (GOOG),2018-12-21,As FAANG stocks falter  fund managers make bets on survivors
Alphabet Inc Class C (GOOG),2018-12-21,Alphabet A Falls 3%
Alphabet Inc Class C (GOOG),2018-12-21,'Kill your foster parents': Amazon's Alexa talks murder  sex in AI experiment
Alphabet Inc Class C (GOOG),2018-12-20,Nasdaq goes bear as momentum plays run out of gas
Alphabet Inc Class C (GOOG),2018-12-20,FCC fines Swarm $900 000 for unauthorized satellite launch
Alphabet Inc Class C (GOOG),2018-12-20,Microsoft issues emergency IE patch
Alphabet Inc Class C (GOOG),2018-12-20,Apple changes how it reports U.S. national security requests
Alphabet Inc Class C (GOOG),2019-01-17,Explainer: Why Siemens-Alstom rail merger is creating European tensions
Alphabet Inc Class C (GOOG),2019-01-17,In 5G play  Vodafone and IBM link up cloud systems for business
Alphabet Inc Class C (GOOG),2019-01-16,U.S. bill seeks to give Americans more control over online data
Alphabet Inc Class C (GOOG),2019-01-16,'Grifters  weaklings  felons': Christie on the Trump White House
Alphabet Inc Class C (GOOG),2019-01-16,Kenya-based foreign firms pledge to stick to Nairobi after attack
Alphabet Inc Class C (GOOG),2019-01-16,Goldman Sachs and Bank of America Have Strong Earnings Despite Shutdown
Alphabet Inc Class C (GOOG),2019-01-16,New WordPress Publishing Platform Will Offer Blockchain Features
Alphabet Inc Class C (GOOG),2019-01-16,Pokemon Go creator Niantic raises $245 million at $4 billion valuation
Alphabet Inc Class C (GOOG),2019-01-16,FAANG Stocks Pair Trading
Alphabet Inc Class C (GOOG),2019-01-15,Netflix  China boost Wall Street as investors shrug off Brexit vote
Alphabet Inc Class C (GOOG),2019-01-30,Facebook keeps attracting digital ads  shares jump after hours
Alphabet Inc Class C (GOOG),2019-01-30,Google disables iPhone app that studied users' digital habits
Alphabet Inc Class C (GOOG),2019-01-30,TechCrunch: Google app may violate Apple policy like Facebook's does
Alphabet Inc Class C (GOOG),2019-01-30,China unveils draft regulations for Nasdaq-style technology board
Alphabet Inc Class C (GOOG),2019-01-29,Wall Street wavers as tech gives ground and industrials rebound
Alphabet Inc Class C (GOOG),2019-01-29,OECD working on plans for minimum corporate tax
Alphabet Inc Class C (GOOG),2019-01-29,Google  Facebook  Twitter must do more against fake news: EU
Alphabet Inc Class C (GOOG),2019-01-28,Analyst: Google an unlikely taker for Zayo Group
Alphabet Inc Class C (GOOG),2019-01-28,The digital drug: Internet addiction spawns U.S. treatment programs
Alphabet Inc Class C (GOOG),2019-01-28,Stocks - Caterpillar Slides in Premarket  S&P Global  Blackberry  Dropbox Gain
Alphabet Inc Class C (GOOG),2018-12-20,Twitter Inc: Falls on short-seller Citron Research's report
Alphabet Inc Class C (GOOG),2018-12-20,Retailer Casino switches on data centers in new revenue search
Alphabet Inc Class C (GOOG),2018-12-20,South Korean food delivery startup Woowa Bros lands $320 million investment
